英文原文,中文原文,libre译文,llama2译文,atom-7B译文,bleu_score_libre,bleu_score_llama2,bleu_score_atom-7B
28  Year  Old Chef Found Dead at San Francisco Mall,28 岁 厨师 被 发现 死 于 旧金山 一家 商场,28岁的老厨师在旧金山被发现死亡 购物中心,"
 ""28岁的厨师在旧金山购物中心被发现死亡""",28 岁厨师被发现死在旧金山购物中心。,0.33028913,0.301511345,0.6238969054580371
a 28  year  old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week .,近日 刚 搬 至 旧金山 的 一位 28 岁 厨师 本周 被 发现 死 于 当地 一家 商场 的 楼梯间 。,28岁的厨师最近搬到了旧金山 这周被发现死在一家当地商场的楼梯上.,"
 «一名28岁的厨师， Who 最近移居到旧金山，本周在当地商场楼梯井中被发现死亡。»",{一个28岁的厨师，最近刚搬到旧金山，在本周被发现死在当地一家购物中心的楼梯间里。},0.338075809,0.21821789,0.4361391879943235
"but the victim 's brother says he can 't think of anyone who would want to hurt him , saying , "" Things were finally going well for him . """,但 受害人 的 哥哥 表示 想不出 有 谁 会 想要 加害于 他 ， 并称 “ 一切 终于 好 起来 了 。 ”,"但受害人的弟弟说,他想不出谁想伤害他,说: "" 事情终于对他有利。 ""","
受害者的兄长表示，他无法想象任何人想要伤害他，说道：“事情终于开始好起来了。”",{但是受害者的弟弟说他无法想象谁会想要伤害他，他说，事情终于对他有了好的进展。},0.174077656,0.216307614,0.16641005886756874
"the body found at the Westfield Mall Wednesday morning was identified as 28  year  old San Francisco resident Frank Galicia , the San Francisco Medical Examiner 's Office said .",旧金山 验尸官 办公室 表示 ， 周三 早上 于 西田 购物中心 发现 的 尸体 确认 为 28 岁 旧金山 居民   Frank   Galicia 。,旧金山医生办公室说.,"
西田 Mall 上午发现的尸体被确认为28岁的三藩市居民弗兰克·加利西亚，三藩市医学检查官办公室表示。",{周三早上在西田购物中心发现的尸体已被确认为28岁的旧金山居民Frank Galicia，旧金山医学检查官办公室说。},3.8500000000000004e-156,0.377964473,0.5363695626080097
the San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing .,旧金山 警察局 称该 起 死亡 案件 被 裁定 为 他杀 ， 并 正在 进行 调查 。,旧金山警察局说 死亡被裁定为凶杀案 调查正在进行中.,"
『三藩市警察局表示，死亡被判定为谋杀，并且正在进行调查。』",{旧金山警察局表示，该人死亡被裁定为凶杀，并且调查仍在进行中。},0.41188352,0.253631641,0.28005601680560194
"the victim 's brother , Louis Galicia , told ABC station KGO in San Francisco that Frank , previously a line cook in Boston , had landed his dream job as line chef at San Francisco 's Sons & Daughters restaurant six months ago .",受害人 的 哥哥   Louis   Galicia   对 美国广播公司 位于 旧金山 的 电台   KGO   表示 ， 之前 在 波士顿 做 流水线 厨师 的 Frank   于 六个月 前 在 旧金山 的   Sons   &   Daughters   餐馆 找到 一份 流水线 厨师 的 理想 工作 。,"受害者的兄弟Louis Galicia告诉旧金山的ABC电视台KGO说, Frank.","
受害者的哥哥，路易斯·加利西亚，向ABC电视台KGO在旧金山表示，弗兰克，之前在波士顿工作的线上厨师，六个月前在旧金山的儿童与儿女餐厅担任了梦想的线上厨师职位。",受害者的弟弟路易斯·加利西亚告诉ABC电视台KGO在旧金山，弗兰克，此前是波士顿的一条厨师，六个月前在旧金山的Sons & Daughters餐厅成为主厨。,0.052129457,0.291582309,0.25736333677273515
"a spokesperson for Sons & Daughters said they were "" shocked and devastated "" by his death .",Sons   &   Daughters   餐馆 的 一位 发言人 表示 ， 他们 对于   Frank   的 死 感到 “ 非常 震惊 ” 。,"sons & Daughters的一位发言人说,他们对他的死亡 "" 感到震惊和破坏 "" .","
""Sons & Daughters 的发言人表示，他们受到了他的死讯，感到惊讶和悲痛。""",{a 发言人说，他们对他的死亡感到震惊和悲痛。},0.266556995,0.34299717,7.194988378137566e-155
""" we are a small team that operates like a close knit family and he will be dearly missed , "" the spokesperson said .",该 发言人 称 ， “ 我们 是 相处 得 像 亲密无间 的 一家人 的 一个 小 团队 ， 我们 将 深深 怀念 他 。 ”,""" 发言人说, "" 我们是一个小团队,其运作方式像一个亲密的毛线家庭,他会非常怀念他。 "".","
我们是一个小的团队，工作像一个紧密的家庭一样，他的离开将被深深地受到哀悼。”发言人说。","""我们是一个小团队，运作得像一个紧密团结的家族，他将被深深地怀念，"" 。",0.238704958,0.208514414,0.3228479823367473
our thoughts and condolences are with Frank 's family and friends at this difficult time .,在 这个 悲痛 的 时刻 ， 我们 向   Frank   的 家人 及 朋友 表达 我们 深切 的 同情 与 哀悼 。,"在此困难时刻,我们向弗兰克的家人和朋友表示同情和慰问.","
「我們的思oughts和哀悼是向Frank的家人和朋友的，在這個困難的時刻。」

(Note: 困難的時刻 is a common way to express ""difficult time"" in Chinese.)","""我们的思想和慰问是在这个困难的时刻与弗兰克的家人和朋友同在。""",0.188098259,0.134976381,0.26726124191242434
"Louis Galicia said Frank initially stayed in hostels , but recently , "" Things were finally going well for him . """,Louis   Galicia   称   Frank   起初 住 在 招待所 里 ， 但是 最近 “ 一切 终于 好 起来 了 。 ”,"路易·加利西亚说弗兰克最初住在招待所,但最近, "" 事情终于对他有利。 ""","
路易斯·加利西亚说，弗兰克最初住在旅社，但是最近，“事情终于开始顺利地进行了。”",{路易斯·加利西亚说，弗兰克起初住在旅舍，但最近，他的情况终于有了好转。},0.162221421,0.198029509,0.17770466332772766
